Ticker,Company,Sector,SubIndustry,1Y_Change(%),Volatility(%),AvgAnnualReturn(%),MaxDrawdown(%)
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,332.8337847045195,74.57977280800307,176.78101316720048,47.656251826122734
PLTR,Palantir Technologies,Information Technology,Application Software,213.2605578127668,68.82306796445545,139.5354713741646,40.61145842956551
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",208.20347421646156,52.523962134033134,128.37292541565154,44.97559586756691
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",171.3673936414612,50.28234457223088,114.06610665558708,38.12496574701976
APP,AppLovin,Information Technology,Application Software,152.0423430934374,82.59668096268925,128.37733804463576,56.997237367446886
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,139.2742833524187,63.94338387680628,108.25970795840104,38.43074300927699
MU,Micron Technology,Information Technology,Semiconductors,111.02641472164795,62.01986275275884,95.34145171586795,42.78417633746403
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,106.92856346763992,47.91653496916538,85.34537255067357,33.421322375091925
AVGO,Broadcom,Information Technology,Semiconductors,95.35255332850372,58.14919886267933,84.53063084633766,41.14967693733898
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",95.16943287540664,44.21814687054445,77.8559681074909,31.776622821033087
APH,Amphenol,Information Technology,Electronic Components,88.24871388772476,35.35146890264301,70.60767259124347,24.57916429531413
NEM,Newmont,Materials,Gold,86.4131429412387,39.45541547493296,71.15858780494048,19.985753597798833
GLW,Corning Inc.,Information Technology,Electronic Components,86.14596166141777,33.66502584251295,68.84024435295977,27.567663990084895
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,85.48373327866896,34.27427350299815,68.71160721206537,19.41315740149048
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,78.85526555079943,55.35707836275407,74.01687427273053,26.224305924575653
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,77.51855552755428,42.701684343007685,67.38112801579736,25.69315345109195
GE,GE Aerospace,Industrials,Aerospace & Defense,71.74080532397016,30.79101419447451,59.75084259651058,21.364264304679907
CAH,Cardinal Health,Health Care,Health Care Distributors,69.88364147596859,27.571945307638185,57.59986629568743,12.879566138373075
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,68.55871346156341,44.76328712110574,63.09841066907285,38.66281329387594
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,66.50985823661031,57.77471149184383,68.12636073396519,51.405461380124905
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,64.83602545828522,44.14635464248306,59.80470536968634,23.025754313591012
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,63.74872576339069,55.53177322472273,65.81716316544993,38.28561520177484
CRWD,CrowdStrike,Information Technology,Systems Software,60.989183595274795,46.92911523081534,59.2335267366336,32.17234818884977
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,60.48158601109588,42.75320378716012,57.22517015804416,27.415501658071335
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,58.838137911955236,28.737968423279543,51.12159921351375,21.95745655076498
AMD,Advanced Micro Devices,Information Technology,Semiconductors,58.65704533964299,58.62728401717153,63.31534315783025,47.79735999129815
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,58.39215737786695,36.99350934212621,53.733127857779714,23.421689914927175
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",58.30062719433053,103.22369814511059,98.11737413067088,51.02074650807994
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,58.23279381285866,32.681188032353,51.967178885434414,29.805869849409945
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,57.22451762028867,32.232863450971706,51.17121869950726,29.350060555515878
JBL,Jabil,Information Technology,Electronic Manufacturing Services,56.9391733947364,39.20424033123429,53.47072658819324,32.53612648166991
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,54.90060884136276,33.34196135468001,50.01575262453455,21.118716407536215
C,Citigroup,Financials,Diversified Banks,52.17725562881886,31.169694256800835,47.599916799786904,31.312777059609274
JCI,Johnson Controls,Industrials,Building Products,51.15769903702194,31.62391035136856,46.92897577832621,21.126271878120427
IBM,IBM,Information Technology,IT Consulting & Other Services,50.333078896025995,30.49385858702358,46.03385588237553,19.819084552975347
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,50.18355668796042,66.69273454583863,63.35988777626904,53.765680118585216
RTX,RTX Corporation,Industrials,Aerospace & Defense,48.741317857973335,27.351882780325944,44.14081744341841,16.150678997380982
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,48.491886190727215,30.053828846720926,44.695930628149675,18.21064944249523
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,47.55571418894626,34.66410369417379,45.53551318767563,29.133398073741557
DDOG,Datadog,Information Technology,Application Software,47.02212589189384,49.91015924038659,51.18445760446224,48.413873021899015
COR,Cencora,Health Care,Health Care Distributors,46.61147823633171,21.85482278951435,41.291827091643455,10.681769984520553
CEG,Constellation Energy,Utilities,Electric Utilities,46.287837770605194,62.32643937952648,57.913659028330656,50.70228648397275
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,45.46066177563595,50.165154072755925,50.13911125608118,36.787468305161006
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,44.20951377435228,30.150342758613096,41.74916469985973,18.797715619597394
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",44.045770450766106,39.72940576501661,45.04215018637676,36.17542847615047
CVS,CVS Health,Health Care,Health Care Services,43.72486456952168,34.72355578181221,42.810927260822666,27.130504088858604
BK,BNY Mellon,Financials,Asset Management & Custody Banks,42.645290991524895,23.695096702698994,38.913309419818326,17.58291294208654
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,42.030071896832176,41.55910564414519,44.15039538546803,31.070530859184597
INTC,Intel,Information Technology,Semiconductors,41.97484684855535,62.93709213930391,54.66672055830065,33.80796069817178
MCK,McKesson Corporation,Health Care,Health Care Distributors,41.95902003789082,22.646651130098412,38.181909754060236,10.379008712436091
